,name,description,variables
326,B07413PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07413PR.json
327,B08105D,MEANS OF TRANSPORTATION TO WORK (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105D.json
328,B08105E,MEANS OF TRANSPORTATION TO WORK (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105E.json
329,B08105F,MEANS OF TRANSPORTATION TO WORK (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B08105F.json
330,B08105G,MEANS OF TRANSPORTATION TO WORK (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B08105G.json
331,B08105H,"MEANS OF TRANSPORTATION TO WORK (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B08105H.json
332,B08105I,MEANS OF TRANSPORTATION TO WORK (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B08105I.json
333,B25064,MEDIAN GROSS RENT (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25064.json
334,B08503,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08503.json
335,B27001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B27001.json
336,B25063,GROSS RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25063.json
337,B27002,PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B27002.json
338,B07412,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07412.json
339,B25066,AGGREGATE GROSS RENT (DOLLARS) BY UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B25066.json
340,B08501,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08501.json
341,B07413,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07413.json
342,B25065,AGGREGATE GROSS RENT (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25065.json
343,B07410,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07410.json
344,B25068,BEDROOMS BY GROSS RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25068.json
345,B07411,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07411.json
346,B25067,AGGREGATE GROSS RENT (DOLLARS) BY MEALS INCLUDED IN RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25067.json
347,B27003,PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B27003.json
348,B25069,INCLUSION OF UTILITIES IN RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25069.json
349,B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007F.json
350,B14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B14007G.json
351,B14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B14007H.json
352,B14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B14007I.json
353,B25060,AGGREGATE CONTRACT RENT (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25060.json
354,B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007B.json
355,B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007C.json
356,B25062,AGGREGATE RENT ASKED (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25062.json
357,B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007D.json
358,B25061,RENT ASKED,http://api.census.gov/data/2019/acs/acs5/groups/B25061.json
359,B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B14007E.json
360,B15012,TOTAL FIELDS OF BACHELOR'S DEGREES REPORTED,http://api.census.gov/data/2019/acs/acs5/groups/B15012.json
361,B15011,SEX BY AGE BY FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B15011.json
362,B20005A,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005A.json
363,B20005B,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005B.json
364,B20005C,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005C.json
365,B20005D,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005D.json
366,B06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B06010PR.json
367,B25053,TENURE BY KITCHEN FACILITIES,http://api.census.gov/data/2019/acs/acs5/groups/B25053.json
368,B25052,KITCHEN FACILITIES FOR OCCUPIED HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B25052.json
369,B25055,AGE OF HOUSEHOLDER BY MEALS INCLUDED IN RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25055.json
370,B25054,KITCHEN FACILITIES BY MEALS INCLUDED IN RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25054.json
371,B25057,LOWER CONTRACT RENT QUARTILE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25057.json
372,B25056,CONTRACT RENT,http://api.census.gov/data/2019/acs/acs5/groups/B25056.json
373,B25059,UPPER CONTRACT RENT QUARTILE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25059.json
374,B25058,MEDIAN CONTRACT RENT (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25058.json
375,B20005E,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005E.json
376,B20005F,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B20005F.json
377,B20005G,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B20005G.json
378,B20005H,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B20005H.json
379,B20005I,SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B20005I.json
380,B25051,KITCHEN FACILITIES FOR ALL HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B25051.json
381,B25050,PLUMBING FACILITIES BY OCCUPANTS PER ROOM BY YEAR STRUCTURE BUILT,http://api.census.gov/data/2019/acs/acs5/groups/B25050.json
382,B15001,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B15001.json
383,B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B13002G.json
384,B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002F.json
385,B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B13002I.json
386,B15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B15003.json
387,B13002H,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B13002H.json
388,B15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B15002.json
389,B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002C.json
390,B25049,TENURE BY PLUMBING FACILITIES,http://api.census.gov/data/2019/acs/acs5/groups/B25049.json
391,B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002B.json
392,B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002E.json
393,B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002D.json
394,B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B13002A.json
395,B25042,TENURE BY BEDROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25042.json
396,B25041,BEDROOMS,http://api.census.gov/data/2019/acs/acs5/groups/B25041.json
397,B25044,TENURE BY VEHICLES AVAILABLE,http://api.census.gov/data/2019/acs/acs5/groups/B25044.json
398,B25043,TENURE BY TELEPHONE SERVICE AVAILABLE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25043.json
399,B05005PR,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B05005PR.json
400,B25046,AGGREGATE NUMBER OF VEHICLES AVAILABLE BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B25046.json
401,B25045,TENURE BY VEHICLES AVAILABLE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B25045.json
402,B25048,PLUMBING FACILITIES FOR OCCUPIED HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B25048.json
403,B25047,PLUMBING FACILITIES FOR ALL HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B25047.json
404,B25040,HOUSE HEATING FUEL,http://api.census.gov/data/2019/acs/acs5/groups/B25040.json
405,C24070,INDUSTRY BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/C24070.json
406,B23018,AGGREGATE USUAL HOURS WORKED IN THE PAST 12 MONTHS BY SEX FOR WORKERS 16 TO 64 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B23018.json
407,B23010,PRESENCE OF OWN CHILDREN UNDER 18 YEARS IN MARRIED-COUPLE FAMILIES BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE,http://api.census.gov/data/2019/acs/acs5/groups/B23010.json
408,B23013,MEDIAN AGE BY SEX FOR WORKERS 16 TO 64 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B23013.json
409,B07009PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07009PR.json
410,B23003,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B23003.json
411,C24060,OCCUPATION BY CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/C24060.json
412,B22005A,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005A.json
413,B07411PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07411PR.json
414,B22005B,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005B.json
415,B23006,EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 25 TO 64 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B23006.json
416,B23007,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B23007.json
417,B23008,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,http://api.census.gov/data/2019/acs/acs5/groups/B23008.json
418,B23009,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B23009.json
419,B22005G,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B22005G.json
420,B22005H,"RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B22005H.json
421,B22005I,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B22005I.json
422,B22005C,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005C.json
423,B22005D,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005D.json
424,B22005E,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005E.json
425,B23001,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B23001.json
426,B22005F,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY RACE OF HOUSEHOLDER (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B22005F.json
427,B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,http://api.census.gov/data/2019/acs/acs5/groups/B11010.json
428,B11012,HOUSEHOLDS BY TYPE,http://api.census.gov/data/2019/acs/acs5/groups/B11012.json
429,B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B11011.json
430,B992516,ALLOCATION OF RENT ASKED,http://api.census.gov/data/2019/acs/acs5/groups/B992516.json
431,B992514,ALLOCATION OF MEALS INCLUDED IN RENT,http://api.census.gov/data/2019/acs/acs5/groups/B992514.json
432,B992515,ALLOCATION OF CONTRACT RENT,http://api.census.gov/data/2019/acs/acs5/groups/B992515.json
433,B992518,ALLOCATION OF GROSS RENT,http://api.census.gov/data/2019/acs/acs5/groups/B992518.json
434,B992519,ALLOCATION OF VALUE,http://api.census.gov/data/2019/acs/acs5/groups/B992519.json
435,B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,http://api.census.gov/data/2019/acs/acs5/groups/B11014.json
436,B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B11013.json
437,B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,http://api.census.gov/data/2019/acs/acs5/groups/B11016.json
438,B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,http://api.census.gov/data/2019/acs/acs5/groups/B11015.json
439,B992512,ALLOCATION OF VEHICLES AVAILABLE,http://api.census.gov/data/2019/acs/acs5/groups/B992512.json
440,B11017,MULTIGENERATIONAL HOUSEHOLDS,http://api.census.gov/data/2019/acs/acs5/groups/B11017.json
441,B992513,ALLOCATION OF TELEPHONE SERVICE AVAILABLE,http://api.census.gov/data/2019/acs/acs5/groups/B992513.json
442,B992510,ALLOCATION OF KITCHEN FACILITIES,http://api.census.gov/data/2019/acs/acs5/groups/B992510.json
443,B992511,ALLOCATION OF HOUSE HEATING FUEL,http://api.census.gov/data/2019/acs/acs5/groups/B992511.json
444,B11001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B11001.json
445,B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B11003.json
446,B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,http://api.census.gov/data/2019/acs/acs5/groups/B11002.json
447,B992520,ALLOCATION OF PRICE ASKED,http://api.census.gov/data/2019/acs/acs5/groups/B992520.json
448,B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,http://api.census.gov/data/2019/acs/acs5/groups/B11005.json
449,B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B11004.json
450,B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",http://api.census.gov/data/2019/acs/acs5/groups/B11007.json
451,B992523,ALLOCATION OF SELECTED MONTHLY OWNER COSTS FOR OWNER-OCCUPIED HOUSING UNITS,http://api.census.gov/data/2019/acs/acs5/groups/B992523.json
452,B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,http://api.census.gov/data/2019/acs/acs5/groups/B11006.json
453,B11009,COUPLED HOUSEHOLDS BY TYPE,http://api.census.gov/data/2019/acs/acs5/groups/B11009.json
454,B992521,ALLOCATION OF MORTGAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B992521.json
455,B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B11008.json
456,B992522,ALLOCATION OF MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,http://api.census.gov/data/2019/acs/acs5/groups/B992522.json
457,B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B13010.json
458,B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,http://api.census.gov/data/2019/acs/acs5/groups/B13014.json
459,B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B13012.json
460,B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B13015.json
461,B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B13016.json
462,B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,http://api.census.gov/data/2019/acs/acs5/groups/B13002.json
463,C16001,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/C16001.json
464,C16002,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS,http://api.census.gov/data/2019/acs/acs5/groups/C16002.json
465,C27001I,HEALTH INSURANCE COVERAGE STATUS BY AGE (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/C27001I.json
466,B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY PRESENCE OF SPOUSE OR UNMARRIED PARTNER,http://api.census.gov/data/2019/acs/acs5/groups/B13004.json
467,B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,http://api.census.gov/data/2019/acs/acs5/groups/B13008.json
468,B05012PR,NATIVITY IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B05012PR.json
469,B24125,"DETAILED OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED MALE POPULATION 16 YEARS AND OVER",http://api.census.gov/data/2019/acs/acs5/groups/B24125.json
470,B24126,"DETAILED OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED FEMALE POPULATION 16 YEARS AND OVER",http://api.census.gov/data/2019/acs/acs5/groups/B24126.json
471,B01003,TOTAL POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B01003.json
472,B99087,ALLOCATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B99087.json
473,B99086,ALLOCATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B99086.json
474,B99089,ALLOCATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B99089.json
475,B99088,ALLOCATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B99088.json
476,B01002,MEDIAN AGE BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B01002.json
477,B24121,"DETAILED OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",http://api.census.gov/data/2019/acs/acs5/groups/B24121.json
478,B99083,ALLOCATION OF TIME OF DEPARTURE TO GO TO WORK,http://api.census.gov/data/2019/acs/acs5/groups/B99083.json
479,B01001,SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B01001.json
